Id,method,comment,isConsistent,tokensLength
1796,"public default GraphTraversalSource traversal() {
        return new GraphTraversalSource(this);
    }",Generate a reusable  GraphTraversalSource instance.,1,26
1797,"private static boolean matchWildcard(String name, String pattern) {
        // we have wildcard support in that hence you can match with: file* to match any file endpoints
        if (pattern.endsWith(""*"")) {
            String text = pattern.substring(0, pattern.length() - 1);
            return name.toLowerCase(Locale.ENGLISH).startsWith(text.toLowerCase(Locale.ENGLISH));
        }
        return false;
    }",Matches the name with the given pattern (case insensitive).,1,102
1798,"public Argument setDescription(String description) {
    Objects.requireNonNull(description);
    this.description = description;
    return this;
  }",Sets the description of the  Argument.,1,41
1799,"public WSRPProducer remove(long wsrpProducerId)
		throws NoSuchProducerException, SystemException {
		return remove(Long.valueOf(wsrpProducerId));
	}",Removes the w s r p producer with the primary key from the database.,1,38
1800,"public boolean isShowing() {

		if (mToastView != null) {

			return mToastView.isShown();

		}

		else {

			return false;

		}

	}",Returns true if the SuperCardToast is showing.,1,61
1801,"public boolean isShowing() {

		if (mToastView != null) {

			return mToastView.isShown();

		}

		else {

			return false;

		}

	}",Returns true if the SuperToast is showing.,1,61
1802,"public IRI getNode(){
        return (IRI)graphNode.getNode();
    }",Getter for the IRI representing the ID of this Representation.,1,25
1803,"public static int lastIndexOf(CharSequence seq, CharSequence searchSeq) {
        if (seq == null || searchSeq == null) {
            return INDEX_NOT_FOUND;
        }
        return StringUtils.lastIndexOfSequence(seq, searchSeq, seq.length());
    }","Finds the last index within a CharSequence, handling  null.",1,77
1804,"public Timer newTimer(Class<?> klass,
                                String name,
                                String scope) {
        return newTimer(klass, name, scope, TimeUnit.MILLISECONDS, TimeUnit.SECONDS);
    }","Creates a new  Timer and registers it under the given class, name, and scope, measuring elapsed time in milliseconds and invocations per second.",1,56
1805,"public String toJson() {
        return toJson(JsonWriterSettings.builder().outputMode(JsonMode.RELAXED).build());
    }","Gets a JSON representation of this document using the  org.bson.json.JsonMode#RELAXED output mode, and otherwise the default settings of  JsonWriterSettings.Builder and  DocumentCodec.",1,37
1806,"public static Process execute(final List<String> commands, final List<String> envp, final File dir) throws IOException {
        return Runtime.getRuntime().exec((String[]) (commands == null ? null : commands.toArray()),
                (String[]) (envp == null ? null : envp.toArray()), dir);
    }","Executes the command specified by the list of strings given as the first parameter, with the environment defined by envp and under the working directory dir.",1,116
1807,"public Optional<Column> resolve(final LogicalSchema schema, final KsqlConfig ksqlConfig) {
    if (shouldUseLegacy(ksqlConfig)) {
      return legacyKeyField
          .map(f -> Column.of(f.name, f.type));
    }

    return resolveLatest(schema);
  }",Resolve this  KeyField to the specific key  Column to use.,1,83
1808,"List<RandomAccessFile> openInputFileAsZip(String fileName) throws IOException {
        /*
         * Try it as a zip file.
         */
        ZipFile zipFile;
        try {
            zipFile = new ZipFile(fileName);
        } catch (FileNotFoundException fnfe) {
            /* not found, no point in retrying as non-zip */
            System.err.println(""Unable to open '"" + fileName + ""': "" +
                fnfe.getMessage());
            throw fnfe;
        } catch (ZipException ze) {
            /* not a zip */
            return null;
        }

        List<RandomAccessFile> result = new ArrayList<RandomAccessFile>();
        try {
            int classesDexNumber = 1;
            while (true) {
                result.add(openClassesDexZipFileEntry(zipFile, classesDexNumber));
                classesDexNumber++;
            }
        } catch (IOException ioe) {
            // We didn't find any of the expected dex files in the zip.
            if (result.isEmpty()) {
                throw ioe;
            }
            return result;
        }
    }",Tries to open an input file as a Zip archive (jar/apk) with dex files inside.,1,243
1809,"private static InternalMessage transformAbandonRequest( LdapMessageCodec codecMessage, int messageId )
    {
        AbandonRequestImpl internalMessage = new AbandonRequestImpl( messageId );
        AbandonRequestCodec abandonRequest = codecMessage.getAbandonRequest();

        // Codec : int abandonnedMessageId -> Internal : int abandonId
        internalMessage.setAbandoned( abandonRequest.getAbandonedMessageId() );

        return internalMessage;
    }",Transform an AbandonRequest message from a codec Message to an,1,83
1810,"public synchronized RVMMethod resolve() {
    if (resolvedMember != null) return resolvedMember;

    // Hasn't been resolved yet. Do it now triggering class loading if necessary.
    return resolveInternal((RVMClass) type.resolve());
  }",Find the RVMMethod that this field reference refers to using the search order specified in JVM spec 5.4.3.3.,1,53
1811,"public static Integer getPriority(Class<?> type) {
		if (priorityAnnotationType != null) {
			Annotation priority = AnnotationUtils.findAnnotation(type, priorityAnnotationType);
			if (priority != null) {
				return (Integer) AnnotationUtils.getValue(priority);
			}
		}
		return null;
	}","Return the value of the  javax.annotation.Priority annotation declared on the specified type, or  null if none.",1,94
1812,"public Entry findLocalVariable(int index, int bci) {
        if (encodedEntries.length != 1) {
            for (int i = 1; i != encodedEntries.length; i += 6) {
                final char thisSlot = encodedEntries[i + ENCODED_SLOT];
                if (thisSlot == index) {
                    final char thisStartBCI = encodedEntries[i + ENCODED_START_BCI];
                    final char thisLength = encodedEntries[i + ENCODED_LENGTH];
                    final char thisEndBCI = (char) (thisStartBCI + thisLength);
                    if (bci >= thisStartBCI && bci <= thisEndBCI) {
                        final char thisNameIndex = encodedEntries[i + ENCODED_NAME_INDEX];
                        final char thisDescriptorIndex = encodedEntries[i + ENCODED_DESCRIPTOR_INDEX];
                        final char thisSignatureIndex = encodedEntries[i + ENCODED_SIGNATURE_INDEX];
                        return new Entry(thisStartBCI, thisLength, thisSlot, thisNameIndex, thisDescriptorIndex, thisSignatureIndex);
                    }
                }
            }
        }
        return null;
    }",Gets an object describing a local variable that is live at a given BCI.,1,288
1813,"public static WrappedResponse getCurrentResponse() {
        return CurrentInstance.get(WrappedResponse.class);
    }",Gets the currently processed wrapped request.,1,28
1814,"public static byte[] getBytes(ByteBuffer buf) {
    return readBytes(buf.duplicate());
  }","Returns a new byte array, copied from the given  buf, from the position (inclusive) to the limit (exclusive).",1,33
1815,"public static String getStyle(Node node) {
		return (String) node.attributesProperty().get(STYLE__GNE);
	}",Returns the value of the  #STYLE__GNE attribute of the given  Node.,1,37
1816,"public SVNRepository remove(long svnRepositoryId)
		throws NoSuchSVNRepositoryException, SystemException {
		return remove(Long.valueOf(svnRepositoryId));
	}",Removes the s v n repository with the primary key from the database.,1,38
1817,"public RawLogTriplet rawLogBuffers()
    {
        return rawLogTriplet;
    }",Get the  uk.co.real_logic.aeron.driver.buffer.RawLogTriplet the back this connection.,1,20
1818,"public List<MethodInfo> getMethods() {
        if (operations.isEmpty()) {
            return Collections.emptyList();
        }

        List<MethodInfo> methods = new ArrayList<MethodInfo>();
        for (Collection<MethodInfo> col : operations.values()) {
            methods.addAll(col);
        }
        return methods;
    }",Gets the list of methods (unsorted),1,103
1819,"public BigDecimal getTotalAsPercentage(BigDecimal total) {
		return total.divide(new BigDecimal(RULES.size())).setScale(2, RoundingMode.HALF_UP).multiply(new BigDecimal(100));
	}","Gets the total as a percentage, two decimal precision",1,56
1820,"protected static List select(EMFPointer context, List steps) {

		List contextChildren = new ArrayList(1);
		contextChildren.add(context.getContext());

		for (int i = 0; i < steps.size() - 1; i++) {
			Step step = (Step) steps.get(i);
			List stepChildren = new ArrayList(contextChildren.size() * 3);
			Iterator contextChildrenIterator = contextChildren.iterator();
			while (contextChildrenIterator.hasNext()) {
				Object contextChild = contextChildrenIterator.next();
				Iterator returnedStepChildrenIterator = Evaluator.evaluate(
						contextChild, step).iterator();
				while (returnedStepChildrenIterator.hasNext()) {
					Object stepChild = returnedStepChildrenIterator.next();
					if (!stepChildren.contains(stepChild))
						stepChildren.add(stepChild);
				}
			}
			contextChildren = stepChildren;
		}

		List result = new ArrayList(contextChildren.size());
		if (steps.isEmpty()) {
			result.add(context);
			return result;
		}
		Step step = (Step) steps.get(steps.size() - 1);
		Iterator contextChildrenIterator = contextChildren.iterator();
		while (contextChildrenIterator.hasNext()) {
			Object contextChild = contextChildrenIterator.next();
			List returnedStepChildren = Collections.emptyList();
			if (Axis.ATTRIBUTE != step.getAxis()
					&& Axis.REFERENCE != step.getAxis())
				returnedStepChildren = Evaluator.evaluate(contextChild, step);
			if (returnedStepChildren.isEmpty()) {
				EMFPointer pointer = createEMFPointer((EObject) contextChild,
						step);
				if (pointer != null && !result.contains(pointer))
					result.add(pointer);
			} else {
				Iterator returnedStepChildrenIterator = returnedStepChildren
						.iterator();
				while (returnedStepChildrenIterator.hasNext()) {
					Object value = returnedStepChildrenIterator.next();
					EMFPointer pointer = null;
					if (value instanceof EObject)
						pointer = createEMFPointer((EObject) value);
					else
						throw new RuntimeException();
					// TODO : don't know what to do in this case
					if (pointer != null && !result.contains(pointer))
						result.add(pointer);
				}
			}
		}
		return result;
	}",Returns a list of EMFPointers built by applying a list of Steps onto the context.,1,660
1821,"public Vector3D subtract(Vector3D v) {
    return new Vector3D(x - v.x, y - v.y, z - v.z);
  }",Subtract a vector from the instance.,1,51
1822,"private Element nextStreamElement() {
            Element packet = null;
            try {
                packet = queue.take();
            }
            catch (InterruptedException e) {
                if (!queue.isShutdown()) {
                    LOGGER.log(Level.FINER, ""Spurious interrupt"", e);
                }
            }
            return packet;
        }",Maybe return the next available element from the queue for writing.,1,99
1823,"public static Source fromText(CharSequence chars, String description) {
        CompilerAsserts.neverPartOfCompilation(""do not call Source.fromText from compiled code"");
        return new LiteralSource(description, chars.toString());
    }",Creates an anonymous source from literal text: not named and not indexed.,1,52
1824,"public static SelectedProtocol protocol(String name) {
            for (SelectedProtocol protocol : SelectedProtocol.values()) {
                if (protocol.protocolName().equals(name)) {
                    return protocol;
                }
            }
            return null;
        }",Get an instance of this enum based on the protocol name returned by the ALPN server provider,1,73
1825,"public static Object invokeJdbcMethod(Method method, Object target) throws SQLException {
		return invokeJdbcMethod(method, target, new Object[0]);
	}",Invoke the specified JDBC API  Method against the supplied target object with no arguments.,1,47
1826,"@Override
	public ServletWebServerApplicationContext getApplicationContext() {
		return this.applicationContext;
	}",Access the application context that the server was created in.,1,24
1827,"public static List<BatchRequestPart> parseBatchRequest(final String contentType, final InputStream content, final EntityProviderBatchProperties properties) throws BatchException {
    return createEntityProvider().parseBatchRequest(contentType, content, properties);
  }",Parse Batch Request body inputStream (as  InputStream) and provide a list of Batch Request parts as  BatchRequestPart,1,60
1828,"public static boolean isMatch(AttributeDescriptor a, AttributeDescriptor b, boolean strict) {
        if (a == b) {
            return true;
        }

        if (b == null) {
            return false;
        }

        if (a == null) {
            return false;
        }

        if (a.equals(b)) {
            return true;
        }

        if (strict) {
            if (a.getLocalName().equals(b.getLocalName())
                    && a.getType().getBinding().equals(b.getType().getBinding())) {
                return true;
            }
        } else {
            if (a.getLocalName().equals(b.getLocalName())) {
                return true;
            }
        }

        return false;
    }",Quickly check descriptors compatibility.,1,239
1829,"public static int indexOf(boolean[] array, boolean valueToFind, int startIndex) {
        if (ArrayUtils.isEmpty(array)) {
            return INDEX_NOT_FOUND;
        }
        if (startIndex < 0) {
            startIndex = 0;
        }
        for (int i = startIndex; i < array.length; i++) {
            if (valueToFind == array[i]) {
                return i;
            }
        }
        return INDEX_NOT_FOUND;
    }",Finds the index of the given value in the array starting at the given index. This method returns  #INDEX_NOT_FOUND (-1) for a null input array. A negative startIndex is treated as zero.,1,141
1830,"public double getRecall() {
      double r = 0;
      for (Map.Entry<String, Map<String, Long>> classification : linearizedMatrix.entrySet()) {
        String klass = classification.getKey();
        r += getRecall(klass);
      }

      return r / linearizedMatrix.size();
    }",get the macro averaged recall (see  #getRecall(String)) over all the classes,1,100
1831,"@SuppressWarnings(""unchecked"")
        @Override
        public <U, RIGHT_PROJECTION extends HigherKinded<U, RightProjection<L, ?>>> RightProjection<L, U> flatMap(Function<? super R, ? extends RIGHT_PROJECTION> mapper) {
            Objects.requireNonNull(mapper);
            if (either.isRight()) {
                return (RightProjection<L, U>) mapper.apply(asRight());
            } else {
                return (RightProjection<L, U>) this;
            }
        }",FlatMaps the right value if the projected Either is a Right.,1,141
1832,"@Override
	public String getDefault() {
		OdfElement parentElement = (OdfElement)getOwnerElement();
		String defaultValue = null;
		if (parentElement != null) {
			defaultValue = DEFAULT_VALUE;			
		}
		return defaultValue;
	}",Returns the default value of @odf.attribute text:display dependent of its element name,1,73
1833,"public QueueEvent peek(long wait) throws KeeperException, InterruptedException {
    if (wait == 0) {
      return element();
    }

    TreeMap<Long,String> orderedChildren;
    boolean waitedEnough = false;
    while (true) {
      LatchChildWatcher childWatcher = new LatchChildWatcher();
      try {
        orderedChildren = orderedChildren(childWatcher);
      } catch (KeeperException.NoNodeException e) {
        zookeeper.create(dir, new byte[0], acl, CreateMode.PERSISTENT, true);
        continue;
      }
      if(waitedEnough) {
        if(orderedChildren.isEmpty()) return null;
      }
      if (orderedChildren.size() == 0) {
        childWatcher.await(wait == Long.MAX_VALUE ?  DEFAULT_TIMEOUT: wait);
        waitedEnough = wait != Long.MAX_VALUE;
        continue;
      }

      for (String headNode : orderedChildren.values()) {
        String path = dir + ""/"" + headNode;
        try {
          byte[] data = zookeeper.getData(path, null, null, true);
          return new QueueEvent(path, data, childWatcher.getWatchedEvent());
        } catch (KeeperException.NoNodeException e) {
          // Another client deleted the node first.
        }
      }
    }
  }","Returns the data at the first element of the queue, or null if the queue is empty after wait ms.",1,367
1834,"public static boolean isNotEmpty(CharSequence cs) {
        return !StringUtils.isEmpty(cs);
    }","Checks if a CharSequence is not empty ("""") and not null.",1,30
1835,"public static <T> Observable<T> synchronize(Observable<T> observable) {
        return wrap(new OperationSynchronize<T>(observable));
    }",Accepts a Observable and wraps it in another Observable that ensures that the resulting,1,45
1836,"static <T> JStream<T> of(T element) {
        return new Cons<>(element, Nil::instance);
    }","Returns a singleton  JStream, i.e.",1,42
1837,"public String toJson() {
        return toJson(JsonWriterSettings.builder().outputMode(JsonMode.RELAXED).build());
    }","Gets a JSON representation of this document using the  org.bson.json.JsonMode#RELAXED output mode, and otherwise the default settings of  JsonWriterSettings.Builder and  DBObjectCodec.",1,37
1838,"public static String convertToBitfinexWithdrawalType(String currency) {
    switch (currency.toUpperCase()) {
      case ""BTC"":
        return ""bitcoin"";
      case ""LTC"":
        return ""litecoin"";
      case ""ETH"":
        return ""ethereum"";
      case ""ETC"":
        return ""ethereumc"";
      case ""ZEC"":
        return ""zcash"";
      case ""XMR"":
        return ""monero"";
      case ""USD"":
        return ""mastercoin"";
      case ""DASH"":
        return ""dash"";
      case ""XRP"":
        return ""ripple"";
      case ""EOS"":
        return ""eos"";
      case ""NEO"":
        return ""neo"";
      case ""AVT"":
        return ""aventus"";
      case ""QTUM"":
        return ""qtum"";
      case ""EDO"":
        return ""eidoo"";
      default:
        throw new BitfinexException(""Cannot determine withdrawal type."");
    }

  }","From the reference documentation for field withdraw_type (2018-02-14); can be one of the following ['bitcoin', 'litecoin', 'ethereum', 'ethereumc', 'mastercoin', 'zcash', 'monero', 'wire', 'dash', 'ripple', 'eos', 'neo', 'aventus', 'qtum', 'eidoo']",1,276
1839,"public static OperationSignature buildFor(ASTMethodOrConstructorDeclaration node) {
        return node instanceof ASTMethodDeclaration ? buildFor((ASTMethodDeclaration) node)
                                                    : buildFor((ASTConstructorDeclaration) node);
    }",Builds an operation signature from a method or constructor declaration.,1,51
1840,"public static ContractProvider from(final Object service) {
        return from(service.getClass());
    }",Create a contract provider model by introspecting the class of a contract provider/service instance.,1,33
1841,"public static WGLContext createFromCurrent() {
		long hglrc = wglGetCurrentContext();
		if ( hglrc == NULL )
			throw new IllegalStateException(""No OpenGL context is current in the current thread."");

		return new WGLContext(hglrc);
	}",Creates a  WGLContext from the current OpenGL context of the current thread.,1,66
1842,"public String getMessage( String key )
	{
		ResourceHandle resourceHandle = getResourceHandle( );
		if ( resourceHandle != null )
			return resourceHandle.getMessage( key );

		return key;
	}",Gets the localized message with the resource key.,1,66
1843,"public final TypeOperand asType() {
    return (TypeOperand) this;
  }",Cast to an  TypeOperand.,1,25
1844,"public static DataSet empty() {
        return new DataSet(null,null);
    }",Returns a single dataset (all fields are null),1,28
1845,"private UiFileInfo getUiFileInfo(TachyonFileSystem tachyonFileSystem, TachyonURI filePath)
      throws FileDoesNotExistException, NotFoundException, IOException {
    return getUiFileInfo(tachyonFileSystem, -1, filePath);
  }",Get the UiFileInfo object based on filePath.,1,48
1846,"public double max() {
            return reduce(NaturalDoubleMaxReducer.max, -Double.MAX_VALUE);
        }","Returns the maximum element, or -Double.MAX_VALUE if empty",1,30
1847,"public ReadyCheckingSideInputReader createSideInputReader(
      final List<PCollectionView<?>> sideInputs) {
    return sideInputContainer.createReaderForViews(sideInputs);
  }",Returns a  ReadyCheckingSideInputReader capable of reading the provided  PCollectionView PCollectionViews.,1,37
1848,"static String getInstanceManagerClassName(ExecutionMode executionMode) {
		switch (executionMode) {
		case LOCAL:
			return ""eu.stratosphere.nephele.instance.LocalInstanceManager"";
		case CLUSTER:
			return ""eu.stratosphere.nephele.instance.DefaultInstanceManager"";
		default:
			throw new RuntimeException(""Unrecognized Execution Mode."");
		}
	}",Tries to read the class name of the  eu.stratosphere.nephele.instance.InstanceManager implementation from the global configuration which is set to be used for the provided execution mode.,1,73
1849,"public List<IAnchor> getNewAnchors() {
		return newAnchors;
	}",Returns the list of  IAnchors which will replace the connection's anchors upon execution.,1,22
1850,"public Collection<RosterEntry> getEntries() {
        synchronized (entries) {
            return Collections.unmodifiableList(new ArrayList<RosterEntry>(entries));
        }
    }",Returns an unmodifiable collection of all entries in the group.,1,47
1851,"public Iterable<MethodDescription> getProxiedMethods() {
        return new TypeWriter.SameThreadCoModifiableIterable<MethodDescription>(orderedAccessorMethods);
    }",Returns an iterable containing all accessor methods that were registered with this delegate.,1,32
1852,"public DataStream<Tuple1<String>> readTextFile(String filePath) {
		return addSource(new FileSourceFunction(filePath), 1);
	}",Creates a DataStream that represents the Strings produced by reading the given file line wise.,1,39
1853,"public Factory updateFactory(Factory update) throws ConflictException,
                                                                                  NotFoundException,
                                                                                  ServerException {
        requireNonNull(update);
        final AuthorImpl creator = factoryDao.getById(update.getId()).getCreator();
        return factoryDao.update(FactoryImpl.builder()
                                            .from(new FactoryImpl(update))
                                            .setCreator(new AuthorImpl(creator.getUserId(), creator.getCreated()))
                                            .build());
    }",Updates factory in accordance to the new configuration.,1,116
1854,"public boolean seekTo() throws IOException {
      if (reader == null) {
        return false;
      }

      if (reader.getTrailer().getEntryCount() == 0) {
        // No data blocks.
        return false;
      }

      long firstDataBlockOffset =
          reader.getTrailer().getFirstDataBlockOffset();
      if (block != null && block.getOffset() == firstDataBlockOffset) {
        blockBuffer.rewind();
        readKeyValueLen();
        return true;
      }

      block = reader.readBlock(firstDataBlockOffset, -1, cacheBlocks, pread,
          isCompaction);
      if (block.getOffset() < 0) {
        throw new IOException(""Invalid block offset: "" + block.getOffset());
      }
      updateCurrBlock(block);
      return true;
    }",Positions this scanner at the start of the file.,1,228
1855,"public double getPrecision() {
      double p = 0;
      for (Map.Entry<String, Map<String, Long>> classification : linearizedMatrix.entrySet()) {
        String klass = classification.getKey();
        p += getPrecision(klass);
      }

      return p / linearizedMatrix.size();
    }",get the macro averaged precision (see  #getPrecision(String)) over all the classes.,1,100
1856,"protected synchronized TaskInProgress findSpeculativeTask(
      Collection<TaskInProgress> list, String taskTrackerName, 
      String taskTrackerHost) {
    if (list.isEmpty()) {
      return null;
    }
    long now = jobtracker.getClock().getTime();
    if (isSlowTracker(taskTrackerName) || atSpeculativeCap(list)) {
      return null;
    }
    // List of speculatable candidates, start with all, and chop it down
    ArrayList<TaskInProgress> candidates = new ArrayList<TaskInProgress>(list);
    
    Iterator<TaskInProgress> iter = candidates.iterator();
    while (iter.hasNext()) {
      TaskInProgress tip = iter.next();
      if (tip.hasRunOnMachine(taskTrackerHost, taskTrackerName) ||
          !tip.canBeSpeculated(now)) {
          //remove it from candidates
          iter.remove();
      }
    }
    //resort according to expected time till completion
    Comparator<TaskInProgress> LateComparator = 
      new EstimatedTimeLeftComparator(now);
    Collections.sort(candidates, LateComparator);
    if (candidates.size() > 0 ) {
      TaskInProgress tip = candidates.get(0);
      if (LOG.isDebugEnabled()) {
        LOG.debug(""Chose task "" + tip.getTIPId() + "". Statistics: Task's : "" +
            tip.getCurrentProgressRate(now) + "" Job's : "" + 
            (tip.isMapTask() ? runningMapTaskStats : runningReduceTaskStats));
      }
      return tip;
    } else {
      return null;
    }
  }",Retrieve a task for speculation.,1,387
1857,"public static ContractProvider from(final Class<?> serviceClass) {
        return from(serviceClass, NO_PRIORITY, null);
    }",Create a contract provider model by introspecting a contract provider/service class.,1,38
1858,"private int seqNoToBitSetOffset(final long seqNo) {
        assert Thread.holdsLock(this);
        assert seqNo >= firstProcessedSeqNo;
        return ((int) (seqNo - firstProcessedSeqNo)) % bitArraysSize;
    }",Obtain the position in the bit array corresponding to the provided sequence number.,1,62
1859,"public QueryOperation createLimitWithFetch(int fetch, QueryOperation child) {
		SortQueryOperation previousSort = validateAndGetChildSort(child);

		if (fetch < 0) {
			throw new ValidationException(""Fetch should be greater or equal 0"");
		}

		int offset = Math.max(previousSort.getOffset(), 0);

		return new SortQueryOperation(previousSort.getOrder(), previousSort.getChild(), offset, fetch);
	}",Adds fetch to the underlying  SortQueryOperation if it is a valid one.,1,116
1860,"public static boolean isHistoryLoggingEnabled(String id)
    {
        return configService.getBoolean(MessageHistoryService
                    .PNAME_IS_MESSAGE_HISTORY_PER_CONTACT_ENABLED_PREFIX
                        + ""."" + id, true);
    }","Returns true if the ""IS_MESSAGE_HISTORY_ENABLED"" property is true for the id, otherwise - returns false.",1,48
1861,"public List<Affiliate> getMembers() throws NoResponseException, XMPPErrorException, NotConnectedException  {
        return getAffiliatesByAdmin(MUCAffiliation.member);
    }",Returns a list of Affiliate with the room members.,1,37
1862,"protected String getParam(final String value, final String paramName) {
		if (value == null || value.length() == 0)
			return null;

		final int length = value.length();
		int start = value.indexOf(';') + 1;
		if (start == 0 || start == length)
			return null;

		int end = value.indexOf(';', start);
		if (end == -1)
			end = length;

		while (start < end) {
			int nameEnd = value.indexOf('=', start);
			if (nameEnd != -1 && nameEnd < end
					&& paramName.equals(value.substring(start, nameEnd).trim())) {
				String paramValue = value.substring(nameEnd + 1, end).trim();
				int valueLength = paramValue.length();
				if (valueLength != 0)
					if (valueLength > 2 && '""' == paramValue.charAt(0)
							&& '""' == paramValue.charAt(valueLength - 1))
						return paramValue.substring(1, valueLength - 1);
					else
						return paramValue;
			}

			start = end + 1;
			end = value.indexOf(';', start);
			if (end == -1)
				end = length;
		}

		return null;
	}",Get parameter value from header value,1,428
1863,"DbException convertException(MVStoreException e) {
        int errorCode = e.getErrorCode();
        if (errorCode == DataUtils.ERROR_TRANSACTION_LOCKED) {
            throw DbException.get(ErrorCode.CONCURRENT_UPDATE_1,
                    e, getName());
        }
        if (errorCode == DataUtils.ERROR_TRANSACTIONS_DEADLOCK) {
            throw DbException.get(ErrorCode.DEADLOCK_1,
                    e, getName());
        }
        return store.convertMVStoreException(e);
    }",Convert the MVStoreException to a database exception.,1,121
1864,"public static synchronized Feed[] updateFeed(final Context context,
                                                 final Feed... newFeeds) {
        List<Feed> newFeedsList = new ArrayList<Feed>();
        List<Feed> updatedFeedsList = new ArrayList<Feed>();
        Feed[] resultFeeds = new Feed[newFeeds.length];
        PodDBAdapter adapter = new PodDBAdapter(context);
        adapter.open();

        for (int feedIdx = 0; feedIdx < newFeeds.length; feedIdx++) {

            final Feed newFeed = newFeeds[feedIdx];

            // Look up feed in the feedslist
            final Feed savedFeed = searchFeedByIdentifyingValueOrID(context, adapter,
                    newFeed);
            if (savedFeed == null) {
                if (BuildConfig.DEBUG)
                    Log.d(TAG,
                            ""Found no existing Feed with title ""
                                    + newFeed.getTitle() + "". Adding as new one.""
                    );
                // Add a new Feed
                newFeedsList.add(newFeed);
                resultFeeds[feedIdx] = newFeed;
            } else {
                if (BuildConfig.DEBUG)
                    Log.d(TAG, ""Feed with title "" + newFeed.getTitle()
                            + "" already exists. Syncing new with existing one."");

                Collections.sort(newFeed.getItems(), new FeedItemPubdateComparator());
                if (savedFeed.compareWithOther(newFeed)) {
                    if (BuildConfig.DEBUG)
                        Log.d(TAG,
                                ""Feed has updated attribute values. Updating old feed's attributes"");
                    savedFeed.updateFromOther(newFeed);
                }
                if (savedFeed.getPreferences().compareWithOther(newFeed.getPreferences())) {
                    if (BuildConfig.DEBUG)
                        Log.d(TAG, ""Feed has updated preferences. Updating old feed's preferences"");
                    savedFeed.getPreferences().updateFromOther(newFeed.getPreferences());
                }
                // Look for new or updated Items
                for (int idx = 0; idx < newFeed.getItems().size(); idx++) {
                    final FeedItem item = newFeed.getItems().get(idx);
                    FeedItem oldItem = searchFeedItemByIdentifyingValue(savedFeed,
                            item.getIdentifyingValue());
                    if (oldItem == null) {
                        // item is new
                        final int i = idx;
                        item.setFeed(savedFeed);
                        savedFeed.getItems().add(i, item);
                        item.setRead(false);
                    } else {
                        oldItem.updateFromOther(item);
                    }
                }
                // update attributes
                savedFeed.setLastUpdate(newFeed.getLastUpdate());
                savedFeed.setType(newFeed.getType());

                updatedFeedsList.add(savedFeed);
                resultFeeds[feedIdx] = savedFeed;
            }
        }

        adapter.close();

        try {
            DBWriter.addNewFeed(context, newFeedsList.toArray(new Feed[newFeedsList.size()])).get();
            DBWriter.setCompleteFeed(context, updatedFeedsList.toArray(new Feed[updatedFeedsList.size()])).get();
        } catch (InterruptedException e) {
            e.printStackTrace();
        } catch (ExecutionException e) {
            e.printStackTrace();
        }

        EventDistributor.getInstance().sendFeedUpdateBroadcast();

        return resultFeeds;
    }",Adds new Feeds to the database or updates the old versions if they already exists.,1,809
1865,"public static int lastIndexOf(final boolean[] array, final boolean valueToFind, int startIndex) {
        if (ArrayUtils.isEmpty(array)) {
            return -1;
        }
        if (startIndex < 0) {
            return -1;
        } else if (startIndex >= array.length) {
            startIndex = array.length - 1;
        }
        for (int i = startIndex; i >= 0; i--) {
            if (valueToFind == array[i]) {
                return i;
            }
        }
        return -1;
    }",Find the last index of the given value in the array starting at the given index. This method returns -1 if null array input. A negative startIndex will return -1.,1,179
1866,"public static ConfigModel of(String name, boolean required) {
        return new Builder(name).setRequired(required).build();
    }",Creates a new ConfigModel,1,43
1867,"public static boolean equals(CharSequence cs1, CharSequence cs2) {
        return cs1 == null ? cs2 == null : cs1.equals(cs2);
    }","Compares two CharSequences, returning true if they are equal. nulls are handled without exceptions.",1,52
1868,"public String getParent(Context context) {

        return null;
    }",Helper method to get parent path,1,23
1869,"public default GraphTraversalSource traversal() {
        return this.traversal(GraphTraversalSource.build().engine(StandardTraversalEngine.build()));
    }",Generate a  GraphTraversalSource instance using the  StandardTraversalEngine.,1,39
1870,"public FunctionNode getFunction(Block block) {
        if(block instanceof FunctionNode) {
            return (FunctionNode)block;
        }
        return getParentFunction(block);
    }",Returns the closest function node to the block.,1,49
